Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=397A29BB2F1436B9AB6FAEE7A6C2F6BB?SERIES_KEY=120.EXR.D.E5.EUR.EN00.A&start=03-10-2014&end=10-10-2019&submitOptions.x=0&submitOptions.y=0&trans=N
,EXR.D.E5.EUR.EN00.A
,"ECB Nominal effective exch. rate of the Euro against, EER-19 group of trading partners: AU,CA,DK,HK,JP,NO,SG,KR,SE,CH,GB,US and BG,CZ,HU,PL,RO,CN and HR excluding the Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[99Q1=100]
2018-12-13,98.3500
2018-12-12,98.3557
2018-12-11,98.4940
2018-12-10,98.7535
2018-12-07,98.2102
2018-12-06,98.1231
2018-12-05,97.9361
2018-12-04,98.1181
2018-12-03,98.0056
2018-11-30,98.4474
2018-11-29,98.5444
2018-11-28,97.9929
2018-11-27,98.2568
2018-11-26,98.3382
2018-11-23,98.3132
2018-11-22,98.5456
2018-11-21,98.6662
2018-11-20,98.7006
2018-11-19,98.8012
2018-11-16,98.3581
2018-11-15,98.0670
2018-11-14,97.9391
2018-11-13,97.7534
2018-11-12,97.8786
2018-11-09,98.1134
2018-11-08,98.3879
2018-11-07,98.6765
2018-11-06,98.4382
2018-11-05,98.2552
2018-11-02,98.3443
2018-11-01,98.5075
2018-10-31,98.5251
2018-10-30,98.7401
2018-10-29,98.6437
2018-10-26,98.4212
2018-10-25,98.6870
2018-10-24,98.4835
2018-10-23,98.8634
2018-10-22,99.0127
2018-10-19,98.7703
2018-10-18,98.9659
2018-10-17,98.9923
2018-10-16,99.1104
2018-10-15,99.2298
2018-10-12,99.1611
2018-10-11,99.2324
2018-10-10,98.9313
2018-10-09,98.6611
2018-10-08,98.8995
2018-10-05,98.8585
2018-10-04,98.8797
2018-10-03,99.0373
2018-10-02,98.9911
2018-10-01,99.2463
2018-09-28,99.0322
2018-09-27,99.6922
2018-09-26,99.8373
2018-09-25,100.0878
2018-09-24,99.9559
2018-09-21,99.7850
2018-09-20,99.7411
2018-09-19,99.3557
2018-09-18,99.5627
2018-09-17,99.4370
2018-09-14,99.5746
2018-09-13,99.1644
2018-09-12,99.1693
2018-09-11,99.1339
2018-09-10,99.1409
2018-09-07,99.2124
2018-09-06,99.4559
2018-09-05,99.3219
2018-09-04,99.1312
2018-09-03,99.2619
2018-08-31,99.4562
2018-08-30,99.6558
2018-08-29,99.6348
2018-08-28,99.7239
2018-08-27,99.4275
2018-08-24,99.2789
2018-08-23,99.2502
2018-08-22,99.2681
2018-08-21,98.7720
2018-08-20,98.4022
2018-08-17,98.3854
2018-08-16,98.3118
2018-08-15,98.1154
2018-08-14,98.3007
2018-08-13,98.3722
2018-08-10,98.5394
2018-08-09,99.0559
2018-08-08,99.1081
2018-08-07,98.9839
2018-08-06,98.8448
2018-08-03,98.9647
2018-08-02,99.2016
2018-08-01,99.3643
2018-07-31,99.6605
2018-07-30,99.3687
2018-07-27,99.1711
2018-07-26,99.4085
2018-07-25,99.2846
2018-07-24,99.6407
2018-07-23,99.6892
2018-07-20,99.6244
2018-07-19,99.2599
2018-07-18,99.0173
2018-07-17,99.2475
2018-07-16,99.2117
2018-07-13,99.0892
2018-07-12,98.9623
2018-07-11,99.2652
2018-07-10,98.9550
2018-07-09,99.1214
2018-07-06,99.1438
2018-07-05,98.9266
2018-07-04,98.6296
2018-07-03,98.8749
2018-07-02,98.9748
2018-06-29,98.8544
2018-06-28,98.4732
2018-06-27,98.3310
2018-06-26,98.5107
2018-06-25,98.4669
2018-06-22,97.9339
2018-06-21,97.4613
2018-06-20,97.5575
2018-06-19,97.3839
2018-06-18,97.4588
2018-06-15,97.2175
2018-06-14,97.6224
2018-06-13,97.9302
2018-06-12,98.0055
2018-06-11,98.0517
2018-06-08,97.8180
2018-06-07,98.1031
2018-06-06,97.7700
2018-06-05,97.3105
2018-06-04,97.6229
2018-06-01,97.5076
2018-05-31,97.5204
2018-05-30,97.2843
2018-05-29,96.9375
2018-05-28,97.2400
2018-05-25,97.3788
2018-05-24,97.6087
2018-05-23,97.6662
2018-05-22,97.9068
2018-05-21,97.9625
2018-05-18,97.9350
2018-05-17,97.9848
2018-05-16,97.9144
2018-05-15,98.4068
2018-05-14,98.7347
2018-05-11,98.3846
2018-05-10,98.1849
2018-05-09,98.3117
2018-05-08,98.4030
2018-05-07,98.5827
2018-05-04,98.8473
2018-05-03,98.9606
2018-05-02,99.1078
2018-05-01,-
2018-04-30,99.1605
2018-04-27,99.0478
2018-04-26,99.3683
2018-04-25,99.4893
2018-04-24,99.4059
2018-04-23,99.4807
2018-04-20,99.5951
2018-04-19,99.7061
2018-04-18,99.7945
2018-04-17,99.4742
2018-04-16,99.5882
2018-04-13,99.3443
2018-04-12,99.4575
2018-04-11,99.7638
2018-04-10,99.6416
2018-04-09,99.5084
2018-04-06,99.2347
2018-04-05,99.2985
2018-04-04,99.3861
2018-04-03,99.4131
2018-04-02,-
2018-03-30,-
2018-03-29,99.5433
2018-03-28,99.9027
2018-03-27,99.8104
2018-03-26,99.8157
2018-03-23,99.6428
2018-03-22,99.5277
2018-03-21,99.4667
2018-03-20,99.4689
2018-03-19,99.5850
2018-03-16,99.5613
2018-03-15,99.7129
2018-03-14,99.8616
2018-03-13,99.9827
2018-03-12,99.6379
2018-03-09,99.7180
2018-03-08,100.3953
2018-03-07,100.2565
2018-03-06,100.1162
2018-03-05,99.7228
2018-03-02,99.7806
2018-03-01,99.1193
2018-02-28,99.1528
2018-02-27,99.4275
2018-02-26,99.3653
2018-02-23,99.3857
2018-02-22,99.4738
2018-02-21,99.5425
2018-02-20,99.5526
2018-02-19,99.8150
2018-02-16,100.0795
2018-02-15,100.2263
2018-02-14,99.7749
2018-02-13,99.7625
2018-02-12,99.3498
2018-02-09,99.4003
2018-02-08,99.1923
2018-02-07,99.4609
