,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-03-15,37.369999,37.400002,35.959999,36.34,36.34,446100.0
1,2016-03-16,36.740002,38.630001,36.610001,38.459999,38.459999,494174.0
2,2016-03-17,38.59,40.360001,38.470001,40.200001,40.200001,298013.0
3,2016-03-18,40.25,41.200001,39.150002,39.439999,39.439999,130151.0
4,2016-03-21,39.060001,40.299999,38.610001,39.91,39.91,479337.0
5,2016-03-22,41.59,41.900002,40.77,41.450001,41.450001,463693.0
6,2016-03-23,41.189999,41.34,39.669998,39.790001,39.790001,492003.0
7,2016-03-24,39.73,39.77,38.330002,39.459999,39.459999,495168.0
8,2016-03-28,39.549999,40.139999,38.860001,39.389999,39.389999,299775.0
9,2016-03-29,39.32,39.48,37.91,38.279999,38.279999,488032.0
10,2016-03-30,38.52,39.849998,38.139999,38.32,38.32,542469.0
11,2016-03-31,38.299999,39.040001,37.57,38.34,38.34,532152.0
12,2016-04-01,38.139999,38.560001,36.630001,36.790001,36.790001,547190.0
13,2016-04-04,36.610001,37.209999,35.459999,35.700001,35.700001,549477.0
14,2016-04-05,35.5,36.580002,35.240002,35.889999,35.889999,485543.0
15,2016-04-06,36.52,37.900002,36.43,37.75,37.75,751048.0
16,2016-04-07,37.759998,38.299999,36.689999,37.259998,37.259998,626749.0
17,2016-04-08,37.52,39.84,37.450001,39.720001,39.720001,817230.0
18,2016-04-11,39.720001,40.75,39.25,40.360001,40.360001,679351.0
19,2016-04-12,40.349998,42.25,40.09,42.169998,42.169998,796837.0
20,2016-04-13,41.630001,42.419998,41.240002,41.759998,41.759998,730437.0
21,2016-04-14,41.540001,42.16,40.84,41.5,41.5,488614.0
22,2016-04-15,41.43,41.73,39.98,40.360001,40.360001,520146.0
23,2016-04-18,38.75,40.240002,37.610001,39.779999,39.779999,342463.0
24,2016-04-19,40.040001,41.529999,39.580002,41.080002,41.080002,101734.0
25,2016-04-20,40.799999,42.91,39.849998,42.630001,42.630001,796240.0
26,2016-04-21,43.970001,44.490002,43.049999,43.18,43.18,671103.0
27,2016-04-22,43.419998,44.450001,43.110001,43.73,43.73,575107.0
28,2016-04-25,43.75,44.040001,42.580002,42.639999,42.639999,606383.0
29,2016-04-26,42.959999,44.830002,42.5,44.040001,44.040001,564392.0
30,2016-04-27,44.639999,45.619999,43.77,45.330002,45.330002,648028.0
31,2016-04-28,45.299999,46.139999,44.939999,46.029999,46.029999,487412.0
32,2016-04-29,45.900002,46.779999,45.240002,45.919998,45.919998,598439.0
33,2016-05-02,45.900002,46.150002,44.540001,44.779999,44.779999,464027.0
34,2016-05-03,44.919998,45.349998,43.32,43.650002,43.650002,625551.0
35,2016-05-04,43.849998,44.880001,43.220001,43.779999,43.779999,711125.0
36,2016-05-05,44.040001,46.07,43.959999,44.32,44.32,746159.0
37,2016-05-06,44.52,45.34,43.540001,44.66,44.66,695306.0
38,2016-05-09,45.0,45.939999,43.240002,43.439999,43.439999,767568.0
39,2016-05-10,43.25,44.790001,43.029999,44.66,44.66,709415.0
40,2016-05-11,44.599998,46.360001,43.959999,46.23,46.23,869957.0
41,2016-05-12,46.0,47.02,45.610001,46.700001,46.700001,715102.0
42,2016-05-13,46.41,46.490002,45.75,46.209999,46.209999,519363.0
43,2016-05-16,46.279999,47.98,46.150002,47.720001,47.720001,550863.0
44,2016-05-17,47.900002,48.759998,47.529999,48.310001,48.310001,470440.0
45,2016-05-18,48.529999,48.950001,47.75,48.189999,48.189999,343184.0
46,2016-05-19,47.869999,48.279999,46.73,48.16,48.16,108816.0
47,2016-05-20,48.200001,48.790001,47.439999,47.75,47.75,538047.0
48,2016-05-23,48.459999,48.5,47.400002,48.080002,48.080002,475453.0
49,2016-05-24,48.080002,49.27,47.639999,48.619999,48.619999,475965.0
50,2016-05-25,49.09,49.75,48.650002,49.560001,49.560001,550501.0
51,2016-05-26,49.700001,50.209999,49.220001,49.48,49.48,488465.0
52,2016-05-27,49.310001,49.599998,48.689999,49.330002,49.330002,406386.0
53,2016-05-31,49.540001,50.099998,48.810001,49.099998,49.099998,476988.0
54,2016-06-01,48.82,49.25,47.75,49.009998,49.009998,568839.0
55,2016-06-02,48.900002,49.470001,47.970001,49.169998,49.169998,564846.0
56,2016-06-03,49.040001,49.41,48.330002,48.619999,48.619999,481034.0
57,2016-06-06,48.880001,49.900002,48.709999,49.689999,49.689999,450472.0
58,2016-06-07,49.709999,50.529999,49.439999,50.360001,50.360001,542254.0
59,2016-06-08,50.41,51.619999,50.32,51.23,51.23,656416.0
60,2016-06-09,51.450001,51.669998,50.23,50.560001,50.560001,560723.0
61,2016-06-10,50.470001,50.73,48.799999,49.07,49.07,596119.0
62,2016-06-13,48.849998,49.279999,48.16,48.880001,48.880001,506036.0
63,2016-06-14,48.52,48.689999,47.84,48.490002,48.490002,456144.0
64,2016-06-15,47.900002,48.720001,47.279999,48.009998,48.009998,527870.0
65,2016-06-16,47.450001,47.75,45.91,46.209999,46.209999,507910.0
66,2016-06-17,45.990002,48.290001,45.830002,47.98,47.98,226653.0
67,2016-06-20,48.290001,49.419998,48.139999,49.369999,49.369999,98293.0
68,2016-06-21,49.139999,49.32,48.16,48.849998,48.849998,475407.0
69,2016-06-22,50.220001,50.540001,48.400002,49.130001,49.130001,569939.0
70,2016-06-23,49.080002,50.23,49.080002,50.110001,50.110001,401885.0
71,2016-06-24,50.299999,50.450001,46.700001,47.639999,47.639999,649446.0
72,2016-06-27,47.810001,47.959999,45.830002,46.330002,46.330002,504613.0
73,2016-06-28,46.59,48.18,46.540001,47.849998,47.849998,498851.0
74,2016-06-29,48.060001,50.0,47.98,49.880001,49.880001,511476.0
75,2016-06-30,49.549999,49.619999,48.169998,48.330002,48.330002,508736.0
76,2016-07-01,48.380001,49.299999,47.900002,48.990002,48.990002,405187.0
77,2016-07-05,49.110001,49.349998,46.330002,46.599998,46.599998,609194.0
78,2016-07-06,46.830002,47.950001,45.919998,47.43,47.43,607663.0
79,2016-07-07,47.880001,48.25,44.869999,45.139999,45.139999,710893.0
80,2016-07-08,45.189999,45.970001,44.77,45.41,45.41,583078.0
81,2016-07-11,45.07,45.77,44.419998,44.759998,44.759998,533657.0
82,2016-07-12,44.580002,46.93,44.509998,46.799999,46.799999,658257.0
83,2016-07-13,46.580002,46.709999,44.560001,44.75,44.75,686245.0
84,2016-07-14,45.139999,45.799999,44.950001,45.68,45.68,573761.0
